asin,name,brand,price,ratings,image,srcset,url
B07PMDMZ2X,Onlmay S/S Dress Noos Vestido para Mujer,Only,"12,99 €","4,3 de 5 estrellas",https://m.media-amazon.com/images/I/71MKB6amBpL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71MKB6amBpL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71MKB6amBpL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71MKB6amBpL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71MKB6amBpL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71MKB6amBpL._AC_UL960_QL65_.jpg 3x",/ONLY-NOS-Onlmay-Dress-Vestido/dp/B07PMDMZ2X/ref=sr_1_1?dchild=1&qid=1593188323&s=apparel&sr=1-1
B089NZPP43,Vestidos Mujer Casual Playa Largos Verano Tie Dye Vestido Boho Hendidura Falda Larga Maxi Vestido Playeros,Zilcremo,"11,99 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/61CLCjlR3wL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61CLCjlR3wL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61CLCjlR3wL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61CLCjlR3wL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61CLCjlR3wL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61CLCjlR3wL._AC_UL960_QL65_.jpg 3x",/Vestidos-Vestido-Hendidura-Playeros-Bluetiedye/dp/B089NZPP43/ref=sr_1_2?dchild=1&qid=1593188323&s=apparel&sr=1-2
B0847SR5G2,Vestido Mujer Bohemio Largo Verano Playa Fiesta Floral Manga Corta Cuello en V Talla Split Wrap Maxi Vestidos,Zilcremo,"8,99 €","3,3 de 5 estrellas",https://m.media-amazon.com/images/I/71Ow4YE6SmL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71Ow4YE6SmL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71Ow4YE6SmL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71Ow4YE6SmL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71Ow4YE6SmL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71Ow4YE6SmL._AC_UL960_QL65_.jpg 3x",/Mujeres-Verano-Bohemio-Vestido-Vestidos/dp/B0847SR5G2/ref=sr_1_3?dchild=1&qid=1593188323&s=apparel&sr=1-3
B07R8D252M,Vestidos Mujer de Camiseta Suelto Casual Cuello Redondo Ocasional Sólida Mini Vestido,YOUCHAN,"14,99 €","4,1 de 5 estrellas",https://m.media-amazon.com/images/I/5114H+WwtQL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/5114H+WwtQL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/5114H+WwtQL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/5114H+WwtQL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/5114H+WwtQL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/5114H+WwtQL._AC_UL960_QL65_.jpg 3x",/YOUCHAN-Vestidos-Camiseta-Ocasional-Vestido_Ejercito/dp/B07R8D252M/ref=sr_1_4?dchild=1&qid=1593188323&s=apparel&sr=1-4
B07Q9JJQ4M,Mujer Vestido Bohemio Corto Florales Nacional Verano Vestido Casual Magas Cortas Chic de Noche Playa Vacaciones,Abravo,"15,89 €","3,5 de 5 estrellas",https://m.media-amazon.com/images/I/718b0PYbmfL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/718b0PYbmfL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/718b0PYbmfL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/718b0PYbmfL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/718b0PYbmfL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/718b0PYbmfL._AC_UL960_QL65_.jpg 3x",/Abravo-Vestido-Florales-Nacional-Vacaciones/dp/B07Q9JJQ4M/ref=sr_1_5?dchild=1&qid=1593188323&s=apparel&sr=1-5
B07C4RKXBG,Mujer Vestido Elegante Casual Dress Cuello V Sin Manga Playa Tirantes Bolsillos Punto Falda Larga,ACHIOOWA,"19,99 €","3,7 de 5 estrellas",https://m.media-amazon.com/images/I/51ZHJVEChEL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51ZHJVEChEL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51ZHJVEChEL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51ZHJVEChEL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51ZHJVEChEL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51ZHJVEChEL._AC_UL960_QL65_.jpg 3x",/ACHIOOWA-Vestido-Elegante-Bolsillo-Oversize/dp/B07C4RKXBG/ref=sr_1_6?dchild=1&qid=1593188323&s=apparel&sr=1-6
B07RQQFNYN,Vestido para Mujer Boho Mujer Verano sin Mangas Beach Printed Mini Vestido Corto,SEMIR,"15,99 €","3,9 de 5 estrellas",https://m.media-amazon.com/images/I/61X7ChzOn6L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61X7ChzOn6L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61X7ChzOn6L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61X7ChzOn6L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61X7ChzOn6L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61X7ChzOn6L._AC_UL960_QL65_.jpg 3x",/Vestido-Verano-Mangas-Printed-Blanco/dp/B07RQQFNYN/ref=sr_1_7?dchild=1&qid=1593188323&s=apparel&sr=1-7
B07V6JKFDB,Vestidos Mujer Verano Casual de Camiseta Suelto Cuello Redondo Basico Color Sólida Multifuncional Vestido,Falechay,"16,99 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/51iwe4X9UYL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51iwe4X9UYL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51iwe4X9UYL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51iwe4X9UYL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51iwe4X9UYL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51iwe4X9UYL._AC_UL960_QL65_.jpg 3x",/Falechay-Vestidos-Camiseta-Multifuncional-Negro-XL/dp/B07V6JKFDB/ref=sr_1_8?dchild=1&qid=1593188323&s=apparel&sr=1-8
B085SML1T8,Onlmay Life S/S Dress Noos Vestido para Mujer,Only,"13,31 €","4,5 de 5 estrellas",https://m.media-amazon.com/images/I/71I3uePugiL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71I3uePugiL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71I3uePugiL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71I3uePugiL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71I3uePugiL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71I3uePugiL._AC_UL960_QL65_.jpg 3x",/Only-Onlmay-Vestido-Casual-Mojito/dp/B085SML1T8/ref=sr_1_9?dchild=1&qid=1593188323&s=apparel&sr=1-9
B07TWPXDKP,Camisón sin Mangas para Mujer Algodon Vestido Verano Playa Casuales Camisón,Abollria,"20,99 €","4,3 de 5 estrellas",https://m.media-amazon.com/images/I/61wJc2p5QAL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61wJc2p5QAL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61wJc2p5QAL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61wJc2p5QAL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61wJc2p5QAL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61wJc2p5QAL._AC_UL960_QL65_.jpg 3x",/Abollria-Camis%C3%B3n-Algodon-Vestido-Casuales/dp/B07TWPXDKP/ref=sr_1_10?dchild=1&qid=1593188323&s=apparel&sr=1-10
