asin,name,brand,price,ratings,image,srcset,url
B07X4ZVXYP,Dogstooth Tunic Blusa para Mujer,Dorothy Perkins,"10,00 €",-1,https://m.media-amazon.com/images/I/81SEzPsbpmL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81SEzPsbpmL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81SEzPsbpmL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81SEzPsbpmL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81SEzPsbpmL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81SEzPsbpmL._AC_UL960_QL65_.jpg 3x",/Dorothy-Perkins-Dogstooth-Tunic-Fabricante/dp/B07X4ZVXYP/ref=sr_1_1681?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1681
B07RWYPKCQ,Camisa Casual de Mujer Manga Corta con Cuello en V Blusa Elegante Cierre de Botón con Dos Bolsillos en el Pecho Estilo Boyfriend Camiseta Boho para Primavera Otoño,Enjoyoself,"14,99 €","3,0 de 5 estrellas",https://m.media-amazon.com/images/I/71Vy0YL9IwL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71Vy0YL9IwL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71Vy0YL9IwL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71Vy0YL9IwL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71Vy0YL9IwL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71Vy0YL9IwL._AC_UL960_QL65_.jpg 3x",/Enjoyoself-Elegante-Bolsillos-Boyfriend-Primavera/dp/B07RWYPKCQ/ref=sr_1_1682?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1682
B07GQPPTG7,Moda Casual para Mujer de Manga Larga Sexy Encaje Hueco Patchwork Solid Tops Blusa,VJGOAL,"1,99 €","2,0 de 5 estrellas",https://m.media-amazon.com/images/I/61XLt0vQLiL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61XLt0vQLiL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61XLt0vQLiL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61XLt0vQLiL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61XLt0vQLiL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61XLt0vQLiL._AC_UL960_QL65_.jpg 3x",/VJGOAL-Casual-Mujer-Encaje-Patchwork/dp/B07GQPPTG7/ref=sr_1_1683?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1683
B07GKTZF6G,Camisetas Mujer Tallas Grandes Rayas Originales Blusa Mujer Elegante Manga Largo Algodón Gasa Otoño Fiesta Camisas T Shirt Women Tops Invierno,Sunnywill,"2,98 €",-1,https://m.media-amazon.com/images/I/61SBOlczjBL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61SBOlczjBL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61SBOlczjBL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61SBOlczjBL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61SBOlczjBL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61SBOlczjBL._AC_UL960_QL65_.jpg 3x",/Sunnywill-Camisetas-Originales-Elegante-Invierno/dp/B07GKTZF6G/ref=sr_1_1684?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1684
B06XCB85T3,Marca Amazon - find. Top Estilo Bardot Mujer,find.,"10,50 €","4,1 de 5 estrellas",https://m.media-amazon.com/images/I/91vi-cHCz-L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/91vi-cHCz-L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/91vi-cHCz-L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/91vi-cHCz-L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/91vi-cHCz-L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/91vi-cHCz-L._AC_UL960_QL65_.jpg 3x",/FIND-24792-Camisetas-Multicolor-Fabricante/dp/B06XCB85T3/ref=sr_1_1685?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1685
B07S6NQT6M,Onlata L/S Shirtwvn Blusa para Mujer,Only,"25,40 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/51r-YdjR5bL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51r-YdjR5bL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51r-YdjR5bL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51r-YdjR5bL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51r-YdjR5bL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51r-YdjR5bL._AC_UL960_QL65_.jpg 3x",/Only-Onlata-Shirtwvn-X-Small-Fabricante/dp/B07S6NQT6M/ref=sr_1_1686?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1686
B07W18841Q,Sexy Mujer Camiseta Vintage Transparente Mangas Largas Floral,Kate Kasin,"19,05 €","3,9 de 5 estrellas",https://m.media-amazon.com/images/I/71v--o-+NIL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71v--o-+NIL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71v--o-+NIL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71v--o-+NIL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71v--o-+NIL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71v--o-+NIL._AC_UL960_QL65_.jpg 3x",/Kate-Kasin-Camisetas-Camiseta-Primavera/dp/B07W18841Q/ref=sr_1_1687?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1687
B07CN65LMC,Ladies Women Italian Lagenlook 2 Piece Sleeveless Asymmetric Hem Hanky Viscose Tunic Top Vest One Size,TEXTURE,"36,39 €","5,0 de 5 estrellas",https://m.media-amazon.com/images/I/71Qn9zsblgL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71Qn9zsblgL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71Qn9zsblgL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71Qn9zsblgL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71Qn9zsblgL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71Qn9zsblgL._AC_UL960_QL65_.jpg 3x",/Italian-Lagenlook-Sleeveless-Asymmetric-Viscose/dp/B07CN65LMC/ref=sr_1_1688?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1688
B06X9TFTYY,Marca Amazon - find. Blusa de Encaje con Bordado para Mujer,find.,"9,00 €","3,2 de 5 estrellas",https://m.media-amazon.com/images/I/91PryXtwYvL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/91PryXtwYvL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/91PryXtwYvL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/91PryXtwYvL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/91PryXtwYvL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/91PryXtwYvL._AC_UL960_QL65_.jpg 3x",/FIND-Embroidered-Blusa-Mujer-Fabricante/dp/B06X9TFTYY/ref=sr_1_1689?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1689
B07R7LBFL5,Camiseta Mujer Verano Moda Oreja de Gato Impresión Manga Corta Tallas Grandes Camiseta con Capucha Blusa Camisa Basica Camiseta Suelto Estampado Tops Casual Fiesta T-Shirt tee vpass,VPASS Mujer Camisetas,"3,98 €","3,4 de 5 estrellas",https://m.media-amazon.com/images/I/616LTeeqXmL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/616LTeeqXmL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/616LTeeqXmL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/616LTeeqXmL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/616LTeeqXmL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/616LTeeqXmL._AC_UL960_QL65_.jpg 3x",/Camiseta-Mujer-Impresi%C3%B3n-Grandes-Estampado/dp/B07R7LBFL5/ref=sr_1_1690?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&qid=1593187862&s=apparel&sr=1-1690
