asin,name,brand,price,ratings,image,srcset,url
B07HF3FH4S,"Nofonda Vestido Congelado, Vestido Largo Azul con Lentejuelas, Traje Falda Espléndido de la Princesa Elsa, Vestido Elegante para Mujer para Disfraces, Halloween, Cosplay, Carnaval (S)",Nofonda,"37,99 €","4,1 de 5 estrellas",https://m.media-amazon.com/images/I/71TE5QRYF5L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71TE5QRYF5L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71TE5QRYF5L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71TE5QRYF5L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71TE5QRYF5L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71TE5QRYF5L._AC_UL960_QL65_.jpg 3x",/Nofonda-Congelado-Lentejuelas-Espl%C3%A9ndido-Disfraces/dp/B07HF3FH4S/ref=sr_1_2689?dchild=1&qid=1593188140&s=apparel&sr=1-2689
B07QPM62CT,Correas de Espagueti Ajustables sin Mangas para Mujer Sundress Midi Vestido S-2XL,AJUMKER,"14,59 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/61XTr+gmBNL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61XTr+gmBNL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61XTr+gmBNL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61XTr+gmBNL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61XTr+gmBNL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61XTr+gmBNL._AC_UL960_QL65_.jpg 3x",/AJUMKER-Correas-Espagueti-Ajustables-Sundress/dp/B07QPM62CT/ref=sr_1_2690?dchild=1&qid=1593188140&s=apparel&sr=1-2690
B07S1TY6LW,"Vestido de Mujer con Cuello en V de Gasa con Botones y Dobladillo Irregular, sin Mangas, Vestido Largo Informal para Playa",MINTLIMIT,"19,65 €",-1,https://m.media-amazon.com/images/I/51P5u2EE4oL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51P5u2EE4oL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51P5u2EE4oL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51P5u2EE4oL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51P5u2EE4oL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51P5u2EE4oL._AC_UL960_QL65_.jpg 3x",/MINTLIMIT-Vestido-Dobladillo-Irregular-Informal/dp/B07S1TY6LW/ref=sr_1_2691?dchild=1&qid=1593188140&s=apparel&sr=1-2691
B084C4GPK1,"Xinantime Vestidos Mujer Casual, Vestidos de Fiesta Mujer Largos 2020 Vintage Floral Elegantes Moda Vestido Largo árabe con Estampado Floral árabe de Dubai Vestido Musulmán Vestido Largo Islámico",Xinantime_Vestido de Manga Larga,"9,62 €",-1,https://m.media-amazon.com/images/I/51u4XkDI-BL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51u4XkDI-BL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51u4XkDI-BL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51u4XkDI-BL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51u4XkDI-BL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51u4XkDI-BL._AC_UL960_QL65_.jpg 3x",/Xinantime-Vestidos-Elegantes-Estampado-Musulm%C3%A1n/dp/B084C4GPK1/ref=sr_1_2692?dchild=1&qid=1593188140&s=apparel&sr=1-2692
B07BDJTFBP,Vestido Tallas Grandes Mujer Verano Elegante Asimetricos Vestidos de Premama Manga 3/4 para Fiesta Coctel Playa Boho Chic Tunicas Largas Caftan Casual Oversize Camiseta Blusa Top Lino Maxi Dress,Landove,"14,99 €","3,6 de 5 estrellas",https://m.media-amazon.com/images/I/51azt-pAqkL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51azt-pAqkL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51azt-pAqkL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51azt-pAqkL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51azt-pAqkL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51azt-pAqkL._AC_UL960_QL65_.jpg 3x",/Elegante-Asimetricos-Vestidos-Oversize-Camiseta/dp/B07BDJTFBP/ref=sr_1_2693?dchild=1&qid=1593188140&s=apparel&sr=1-2693
B0853326TR,Vestido Hawai Multicolor para Mujer.,Desigual,"59,46 €",-1,https://m.media-amazon.com/images/I/61UJ9sXpgDL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61UJ9sXpgDL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61UJ9sXpgDL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61UJ9sXpgDL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61UJ9sXpgDL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61UJ9sXpgDL._AC_UL960_QL65_.jpg 3x",/Desigual-Vestido-Hawai-Multicolor-Mujer/dp/B0853326TR/ref=sr_1_2694?dchild=1&qid=1593188140&s=apparel&sr=1-2694
B086RK33RX,Vestido de túnica con Bolsillos Sueltos 1/2 Mangas de algodón de Lino de Manga Faldas,VEMOW,"6,49 €","4,5 de 5 estrellas",https://m.media-amazon.com/images/I/51+97ActmUL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51+97ActmUL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51+97ActmUL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51+97ActmUL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51+97ActmUL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51+97ActmUL._AC_UL960_QL65_.jpg 3x",/VEMOW-Vestido-Bolsillos-Sueltos-algod%C3%B3n/dp/B086RK33RX/ref=sr_1_2695?dchild=1&qid=1593188140&s=apparel&sr=1-2695
B07SGB931N,Mujer Vestido Entallado con Cremallera,oodji Ultra,"24,70 €","4,7 de 5 estrellas",https://m.media-amazon.com/images/I/71LNbsJ5ndL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71LNbsJ5ndL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71LNbsJ5ndL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71LNbsJ5ndL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71LNbsJ5ndL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71LNbsJ5ndL._AC_UL960_QL65_.jpg 3x",/oodji-Ultra-Vestido-Entallado-Cremallera/dp/B07SGB931N/ref=sr_1_2696?dchild=1&qid=1593188140&s=apparel&sr=1-2696
B0872XR8L1,Vestido de Verano Floral para Mujer Vestido de Cenefa con Cuello en V de Cintura Alta Mini Vestido de Manga Corta Vintage Vestido de Playa Vestidos Casuales,ORANDESIGNE,"10,32 €",-1,https://m.media-amazon.com/images/I/61zdRjcRw6L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61zdRjcRw6L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61zdRjcRw6L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61zdRjcRw6L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61zdRjcRw6L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61zdRjcRw6L._AC_UL960_QL65_.jpg 3x",/ORANDESIGNE-Vestido-Cintura-Vestidos-Casuales/dp/B0872XR8L1/ref=sr_1_2697?dchild=1&qid=1593188140&s=apparel&sr=1-2697
B07L8YKCNT,Vestido para Mujer,REPLAY,"74,61 €","5,0 de 5 estrellas",https://m.media-amazon.com/images/I/71v4v2gCMBL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71v4v2gCMBL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71v4v2gCMBL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71v4v2gCMBL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71v4v2gCMBL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71v4v2gCMBL._AC_UL960_QL65_.jpg 3x",/REPLAY-W9534-000-71838-Vestido-Violet/dp/B07L8YKCNT/ref=sr_1_2698?dchild=1&qid=1593188140&s=apparel&sr=1-2698
