asin,name,brand,price,ratings,image,srcset,url
B079RST3NH,Vestido para Mujer,Pepe Jeans,"58,91 €","2,6 de 5 estrellas",https://m.media-amazon.com/images/I/81-M1dedoSL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81-M1dedoSL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81-M1dedoSL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81-M1dedoSL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81-M1dedoSL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81-M1dedoSL._AC_UL960_QL65_.jpg 3x",/Pepe-Jeans-Jodies-Vestido-Multicolor/dp/B079RST3NH/ref=sr_1_4369?dchild=1&qid=1593188213&s=apparel&sr=1-4369
B0799JCV4M,"Vestido de verano para mujer, con cuello en V, tira de espagueti con botón hacia abajo, línea A, sin espalda, vestido midi",ECOWISH,"24,40 €","3,9 de 5 estrellas",https://m.media-amazon.com/images/I/81gp2FIqU1L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81gp2FIqU1L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81gp2FIqU1L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81gp2FIqU1L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81gp2FIqU1L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81gp2FIqU1L._AC_UL960_QL65_.jpg 3x",/Ecowish-Vestido-Mujer-Amarillo-Medium/dp/B0799JCV4M/ref=sr_1_4370?dchild=1&qid=1593188213&s=apparel&sr=1-4370
B01J19FOPQ,Vestido de Cóctel para Las Mujeres Vestido de los Años 40 Vintage Manga Casquillo Floral Tamaño L CL7597-11 …,GRACE KARIN,0€,"4,2 de 5 estrellas",https://m.media-amazon.com/images/I/81PYmiCsn7L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81PYmiCsn7L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81PYmiCsn7L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81PYmiCsn7L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81PYmiCsn7L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81PYmiCsn7L._AC_UL960_QL65_.jpg 3x",/Vestido-Mujeres-Vintage-Casquillo-CL7597-11/dp/B01J19FOPQ/ref=sr_1_4371?dchild=1&qid=1593188213&s=apparel&sr=1-4371
B07XJ8RVXT,Sin Mangas Tirantes Finos Fruncido Frunces Larga Largo Maxi Bodycon de Tubo Ajustado Lápiz Camisola Vestido,SZIVYSHI,"24,99 €",-1,https://m.media-amazon.com/images/I/61yESM9z4dL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61yESM9z4dL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61yESM9z4dL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61yESM9z4dL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61yESM9z4dL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61yESM9z4dL._AC_UL960_QL65_.jpg 3x",/Tirantes-Fruncido-Ajustado-Camisola-Leopardo/dp/B07XJ8RVXT/ref=sr_1_4372?dchild=1&qid=1593188213&s=apparel&sr=1-4372
B07KXVL2Q9,ZODOF Vestido de la Vendimia de Las señoras Mujeres de Manga Larga a Cuadros Sueltos Swing Vestido Camisa Casual Cuello Redondo Vendaje para Oficina Fiesta Vendaje Top Puro,Vestido ZODOF,"1,88 €","4,5 de 5 estrellas",https://m.media-amazon.com/images/I/51tNb3U7rgL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51tNb3U7rgL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51tNb3U7rgL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51tNb3U7rgL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51tNb3U7rgL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51tNb3U7rgL._AC_UL960_QL65_.jpg 3x",/ZODOF-Vestido-Vendimia-se%C3%B1oras-Mujeres/dp/B07KXVL2Q9/ref=sr_1_4373?dchild=1&qid=1593188213&s=apparel&sr=1-4373
B086ZX7FDV,Vestido de Leopardo con Hombros Descubiertos para Mujer Mini Vestidos de Verano Sexy Boho,Zilcremo,"12,99 €",-1,https://m.media-amazon.com/images/I/81ufhXP-YVL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81ufhXP-YVL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81ufhXP-YVL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81ufhXP-YVL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81ufhXP-YVL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81ufhXP-YVL._AC_UL960_QL65_.jpg 3x",/Vestido-Leopardo-Hombros-Descubiertos-Vestidos/dp/B086ZX7FDV/ref=sr_1_4374?dchild=1&qid=1593188213&s=apparel&sr=1-4374
B086R3G99H,"Maxi vestido casual para mujer, manga larga, estilo casual, cuello en V, estilo retro, suelto, para mujer",VONDA,"18,81 €","4,0 de 5 estrellas",https://m.media-amazon.com/images/I/51QFv0SUkEL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51QFv0SUkEL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51QFv0SUkEL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51QFv0SUkEL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51QFv0SUkEL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51QFv0SUkEL._AC_UL960_QL65_.jpg 3x",/VONDA-vestido-casual-estilo-Bordado/dp/B086R3G99H/ref=sr_1_4375?dchild=1&qid=1593188213&s=apparel&sr=1-4375
B086882SNQ,Vestidos Camiseta para Mujer Tallas Grandes Verano Casual Camisa Larga Vestidos Suelto Bloque Color Rayas Punteadas Ocasional Mini Vestido,Onsoyours,"8,99 €","5,0 de 5 estrellas",https://m.media-amazon.com/images/I/51ha97cjo0L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51ha97cjo0L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51ha97cjo0L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51ha97cjo0L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51ha97cjo0L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51ha97cjo0L._AC_UL960_QL65_.jpg 3x",/Onsoyours-Vestidos-Camiseta-Punteadas-Ocasional/dp/B086882SNQ/ref=sr_1_4376?dchild=1&qid=1593188213&s=apparel&sr=1-4376
B07QYP9T27,Marca Amazon - TRUTH & FABLE Cbtf036 - vestidos mujer Mujer,TRUTH & FABLE,"51,07 €","4,0 de 5 estrellas",https://m.media-amazon.com/images/I/81gCF1UFFLL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81gCF1UFFLL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81gCF1UFFLL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81gCF1UFFLL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81gCF1UFFLL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81gCF1UFFLL._AC_UL960_QL65_.jpg 3x",/TRUTH-FABLE-vestidos-Multicolor-fabricante/dp/B07QYP9T27/ref=sr_1_4377?dchild=1&qid=1593188213&s=apparel&sr=1-4377
B089GD8191,Summer A Line Polka Dot Dress Mujeres con Volantes de Manga Corta Boho Beach Dress Damas Casual con Cuello en V Mini Vestidos Robe Femme,MZFRXZ,"39,60 €",-1,https://m.media-amazon.com/images/I/5148bGinsVL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/5148bGinsVL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/5148bGinsVL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/5148bGinsVL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/5148bGinsVL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/5148bGinsVL._AC_UL960_QL65_.jpg 3x",/MZFRXZ-Vestido-Lunares-Volantes-Vestidos/dp/B089GD8191/ref=sr_1_4378?dchild=1&qid=1593188213&s=apparel&sr=1-4378
